,0,1,2,3,4,5,6,7
0,1,1,1,1,1,2,1,5
1,1,1,1,1,2,2,1,5
2,1,1,1,1,3,2,1,5
3,1,1,1,1,4,2,1,5
4,1,1,1,1,5,2,1,5
5,1,1,1,1,6,2,1,5
6,1,1,1,1,7,2,1,5
7,1,1,1,1,8,2,1,5
8,1,1,1,1,9,2,1,5
9,1,1,1,1,10,2,1,5
10,1,1,1,1,11,2,1,5
11,1,1,1,1,12,2,1,5
12,1,1,1,1,13,2,1,5
13,1,1,1,1,14,2,1,5
14,1,1,1,1,15,2,1,5
15,1,1,1,1,16,2,1,5
16,1,1,1,1,17,2,1,5
17,1,1,1,1,18,2,1,5
18,1,1,1,1,19,2,1,5
19,1,1,1,1,20,2,1,5
20,1,1,1,1,21,2,1,5
21,1,1,1,1,22,2,1,5
22,1,1,1,1,23,2,1,5
23,1,1,1,2,0,2,1,5
24,1,1,1,2,1,2,1,5
25,1,1,1,2,2,2,1,5
26,1,1,1,2,3,2,1,5
27,1,1,1,2,4,2,1,5
28,1,1,1,2,5,2,1,5
29,1,1,1,2,6,2,1,5
30,1,1,1,2,7,2,1,5
31,1,1,1,2,8,2,1,5
32,1,1,1,2,9,2,1,5
33,1,1,1,2,10,2,1,5
34,1,1,1,2,11,2,1,5
35,1,1,1,2,12,2,1,5
36,1,1,1,2,13,2,1,5
37,1,1,1,2,14,2,1,5
38,1,1,1,2,15,2,1,5
39,1,1,1,2,16,2,1,5
40,1,1,1,2,17,2,1,5
41,1,1,1,2,18,2,1,5
42,1,1,1,2,19,2,1,5
43,1,1,1,2,20,2,1,5
44,1,1,1,2,21,2,1,5
45,1,1,1,2,22,2,1,5
46,1,1,1,2,23,2,1,5
47,1,1,1,3,0,2,1,5
48,1,1,1,3,1,2,1,5
49,1,1,1,3,2,2,1,5
50,1,1,1,3,3,2,1,5
51,1,1,1,3,4,2,1,5
52,1,1,1,3,5,2,1,5
53,1,1,1,3,6,2,1,5
54,1,1,1,3,7,2,1,5
55,1,1,1,3,8,2,1,5
56,1,1,1,3,9,2,1,5
57,1,1,1,3,10,2,1,5
58,1,1,1,3,11,2,1,5
59,1,1,1,3,12,2,1,5
60,1,1,1,3,13,2,1,5
61,1,1,1,3,14,2,1,5
62,1,1,1,3,15,2,1,5
63,1,1,1,3,16,2,1,5
64,1,1,1,3,17,2,1,5
65,1,1,1,3,18,2,1,5
66,1,1,1,3,19,2,1,5
67,1,1,1,3,20,2,1,5
68,1,1,1,3,21,2,1,5
69,1,1,1,3,22,2,1,5
70,1,1,1,3,23,2,1,5
71,1,1,1,4,0,2,1,5
72,1,1,1,4,1,2,1,5
73,1,1,1,4,2,2,1,5
74,1,1,1,4,3,2,1,5
75,1,1,1,4,4,2,1,5
76,1,1,1,4,5,2,1,5
77,1,1,1,4,6,2,1,5
78,1,1,1,4,7,2,1,5
79,1,1,1,4,8,2,1,5
80,1,1,1,4,9,2,1,5
81,1,1,1,4,10,2,1,5
82,1,1,1,4,11,2,1,5
83,1,1,1,4,12,2,1,5
84,1,1,1,4,13,2,1,5
85,1,1,1,4,14,2,1,5
86,1,1,1,4,15,2,1,5
87,1,1,1,4,16,2,1,5
88,1,1,1,4,17,2,1,5
89,1,1,1,4,18,2,1,5
90,1,1,1,4,19,2,1,5
91,1,1,1,4,20,2,1,5
92,1,1,1,4,21,2,1,5
93,1,1,1,4,22,2,1,5
94,1,1,1,4,23,2,1,5
95,1,1,1,5,0,2,1,5
96,1,1,1,5,1,2,1,5
97,1,1,1,5,2,2,1,5
98,1,1,1,5,3,2,1,5
99,1,1,1,5,4,2,1,5
100,1,1,1,5,5,2,1,5
101,1,1,1,5,6,2,1,5
102,1,1,1,5,7,2,1,5
103,1,1,1,5,8,2,1,5
104,1,1,1,5,9,2,1,5
105,1,1,1,5,10,2,1,5
106,1,1,1,5,11,2,1,5
107,1,1,1,5,12,2,1,5
108,1,1,1,5,13,2,1,5
109,1,1,1,5,14,2,1,5
110,1,1,1,5,15,2,1,5
111,1,1,1,5,16,2,1,5
112,1,1,1,5,17,2,1,5
113,1,1,1,5,18,2,1,5
114,1,1,1,5,19,2,1,5
115,1,1,1,5,20,2,1,5
116,1,1,1,5,21,2,1,5
117,1,1,1,5,22,2,1,5
118,1,1,1,5,23,2,1,5
119,1,1,1,6,0,2,1,5
120,1,1,1,6,1,2,1,5
121,1,1,1,6,2,2,1,5
122,1,1,1,6,3,2,1,5
123,1,1,1,6,4,2,1,5
124,1,1,1,6,5,2,1,5
125,1,1,1,6,6,2,1,5
126,1,1,1,6,7,2,1,5
127,1,1,1,6,8,2,1,5
128,1,1,1,6,9,2,1,5
129,1,1,1,6,10,2,1,5
130,1,1,1,6,11,2,1,5
131,1,1,1,6,12,2,1,5
132,1,1,1,6,13,2,1,5
133,1,1,1,6,14,2,1,5
134,1,1,1,6,15,2,1,5
135,1,1,1,6,16,2,1,5
136,1,1,1,6,17,2,1,5
137,1,1,1,6,18,2,1,5
138,1,1,1,6,19,2,1,5
139,1,1,1,6,20,2,1,5
140,1,1,1,6,21,2,1,5
141,1,1,1,6,22,2,1,5
142,1,1,1,6,23,2,1,5
143,1,1,1,7,0,2,1,5
144,1,1,1,7,1,2,1,5
145,1,1,1,7,2,2,1,5
146,1,1,1,7,3,2,1,5
147,1,1,1,7,4,2,1,5
148,1,1,1,7,5,2,1,5
149,1,1,1,7,6,2,1,5
150,1,1,1,7,7,2,1,5
151,1,1,1,7,8,2,1,5
152,1,1,1,7,9,2,1,5
153,1,1,1,7,10,2,1,5
154,1,1,1,7,11,2,1,5
155,1,1,1,7,12,2,1,5
156,1,1,1,7,13,2,1,5
157,1,1,1,7,14,2,1,5
158,1,1,1,7,15,2,1,5
159,1,1,1,7,16,2,1,5
160,1,1,1,7,17,2,1,5
161,1,1,1,7,18,2,1,5
162,1,1,1,7,19,2,1,5
163,1,1,1,7,20,2,1,5
164,1,1,1,7,21,2,1,5
165,1,1,1,7,22,2,1,5
166,1,1,1,7,23,2,1,5
167,1,2,1,1,0,2,1,5
168,1,2,1,1,1,2,1,5
169,1,2,1,1,2,2,1,5
170,1,2,1,1,3,2,1,5
171,1,2,1,1,4,2,1,5
172,1,2,1,1,5,2,1,5
173,1,2,1,1,6,2,1,5
174,1,2,1,1,7,2,1,5
175,1,2,1,1,8,2,1,5
176,1,2,1,1,9,2,1,5
177,1,2,1,1,10,2,1,5
178,1,2,1,1,11,2,1,5
179,1,2,1,1,12,2,1,5
180,1,2,1,1,13,2,1,5
181,1,2,1,1,14,2,1,5
182,1,2,1,1,15,2,1,5
183,1,2,1,1,16,2,1,5
184,1,2,1,1,17,2,1,5
185,1,2,1,1,18,2,1,5
186,1,2,1,1,19,2,1,5
187,1,2,1,1,20,2,1,5
188,1,2,1,1,21,2,1,5
189,1,2,1,1,22,2,1,5
190,1,2,1,1,23,2,1,5
191,1,2,1,2,0,2,1,5
192,1,2,1,2,1,2,1,5
193,1,2,1,2,2,2,1,5
194,1,2,1,2,3,2,1,5
195,1,2,1,2,4,2,1,5
196,1,2,1,2,5,2,1,5
197,1,2,1,2,6,2,1,5
198,1,2,1,2,7,2,1,5
199,1,2,1,2,8,2,1,5
200,1,2,1,2,9,2,1,5
201,1,2,1,2,10,2,1,5
202,1,2,1,2,11,2,1,5
203,1,2,1,2,12,2,1,5
204,1,2,1,2,13,2,1,5
205,1,2,1,2,14,2,1,5
206,1,2,1,2,15,2,1,5
207,1,2,1,2,16,2,1,5
208,1,2,1,2,17,2,1,5
209,1,2,1,2,18,2,1,5
210,1,2,1,2,19,2,1,5
211,1,2,1,2,20,2,1,5
212,1,2,1,2,21,2,1,5
213,1,2,1,2,22,2,1,5
214,1,2,1,2,23,2,1,5
215,1,2,1,3,0,2,1,5
216,1,2,1,3,1,2,1,5
217,1,2,1,3,2,2,1,5
218,1,2,1,3,3,2,1,5
219,1,2,1,3,4,2,1,5
220,1,2,1,3,5,2,1,5
221,1,2,1,3,6,2,1,5
222,1,2,1,3,7,2,1,5
223,1,2,1,3,8,2,1,5
224,1,2,1,3,9,2,1,5
225,1,2,1,3,10,2,1,5
226,1,2,1,3,11,2,1,5
227,1,2,1,3,12,2,1,5
228,1,2,1,3,13,2,1,5
229,1,2,1,3,14,2,1,5
230,1,2,1,3,15,2,1,5
231,1,2,1,3,16,2,1,5
232,1,2,1,3,17,2,1,5
233,1,2,1,3,18,2,1,5
234,1,2,1,3,19,2,1,5
235,1,2,1,3,20,2,1,5
236,1,2,1,3,21,2,1,5
237,1,2,1,3,22,2,1,5
238,1,2,1,3,23,2,1,5
239,1,2,1,4,0,2,1,5
240,1,2,1,4,1,2,1,5
241,1,2,1,4,2,2,1,5
242,1,2,1,4,3,2,1,5
243,1,2,1,4,4,2,1,5
244,1,2,1,4,5,2,1,5
245,1,2,1,4,6,2,1,5
246,1,2,1,4,7,2,1,5
247,1,2,1,4,8,2,1,5
248,1,2,1,4,9,2,1,5
249,1,2,1,4,10,2,1,5
250,1,2,1,4,11,2,1,5
251,1,2,1,4,12,2,1,5
252,1,2,1,4,13,2,1,5
253,1,2,1,4,14,2,1,5
254,1,2,1,4,15,2,1,5
255,1,2,1,4,16,2,1,5
256,1,2,1,4,17,2,1,5
257,1,2,1,4,18,2,1,5
258,1,2,1,4,19,2,1,5
259,1,2,1,4,20,2,1,5
260,1,2,1,4,21,2,1,5
261,1,2,1,4,22,2,1,5
262,1,2,1,4,23,2,1,5
263,1,2,1,5,0,2,1,5
264,1,2,1,5,1,2,1,5
265,1,2,1,5,2,2,1,5
266,1,2,1,5,3,2,1,5
267,1,2,1,5,4,2,1,5
268,1,2,1,5,5,2,1,5
269,1,2,1,5,6,2,1,5
270,1,2,1,5,7,2,1,5
271,1,2,1,5,8,2,1,5
272,1,2,1,5,9,2,1,5
273,1,2,1,5,10,2,1,5
274,1,2,1,5,11,2,1,5
275,1,2,1,5,12,2,1,5
276,1,2,1,5,13,2,1,5
277,1,2,1,5,14,2,1,5
278,1,2,1,5,15,2,1,5
279,1,2,1,5,16,2,1,5
280,1,2,1,5,17,2,1,5
281,1,2,1,5,18,2,1,5
282,1,2,1,5,19,2,1,5
283,1,2,1,5,20,2,1,5
284,1,2,1,5,21,2,1,5
285,1,2,1,5,22,2,1,5
286,1,2,1,5,23,2,1,5
287,1,2,1,6,0,2,1,5
288,1,2,1,6,1,2,1,5
289,1,2,1,6,2,2,1,5
290,1,2,1,6,3,2,1,5
291,1,2,1,6,4,2,1,5
292,1,2,1,6,5,2,1,5
293,1,2,1,6,6,2,1,5
294,1,2,1,6,7,2,1,5
295,1,2,1,6,8,2,1,5
296,1,2,1,6,9,2,1,5
297,1,2,1,6,10,2,1,5
298,1,2,1,6,11,2,1,5
299,1,2,1,6,12,2,1,5
300,1,2,1,6,13,2,1,5
301,1,2,1,6,14,2,1,5
302,1,2,1,6,15,2,1,5
303,1,2,1,6,16,2,1,5
304,1,2,1,6,17,2,1,5
305,1,2,1,6,18,2,1,5
306,1,2,1,6,19,2,1,5
307,1,2,1,6,20,2,1,5
308,1,2,1,6,21,2,1,5
309,1,2,1,6,22,2,1,5
310,1,2,1,6,23,2,1,5
311,1,2,1,7,0,2,1,5
312,1,2,1,7,1,2,1,5
313,1,2,1,7,2,2,1,5
314,1,2,1,7,3,2,1,5
315,1,2,1,7,4,2,1,5
316,1,2,1,7,5,2,1,5
317,1,2,1,7,6,2,1,5
318,1,2,1,7,7,2,1,5
319,1,2,1,7,8,2,1,5
320,1,2,1,7,9,2,1,5
321,1,2,1,7,10,2,1,5
322,1,2,1,7,11,2,1,5
323,1,2,1,7,12,2,1,5
324,1,2,1,7,13,2,1,5
325,1,2,1,7,14,2,1,5
326,1,2,1,7,15,2,1,5
327,1,2,1,7,16,2,1,5
328,1,2,1,7,17,2,1,5
329,1,2,1,7,18,2,1,5
330,1,2,1,7,19,2,1,5
331,1,2,1,7,20,2,1,5
332,1,2,1,7,21,2,1,5
333,1,2,1,7,22,2,1,5
334,1,2,1,7,23,2,1,5
335,1,3,1,1,0,2,1,5
336,1,3,1,1,1,2,1,5
337,1,3,1,1,2,2,1,5
338,1,3,1,1,3,2,1,5
339,1,3,1,1,4,2,1,5
340,1,3,1,1,5,2,1,5
341,1,3,1,1,6,2,1,5
342,1,3,1,1,7,2,1,5
343,1,3,1,1,8,2,1,5
344,1,3,1,1,9,2,1,5
345,1,3,1,1,10,2,1,5
346,1,3,1,1,11,2,1,5
347,1,3,1,1,12,2,1,5
348,1,3,1,1,13,2,1,5
349,1,3,1,1,14,2,1,5
350,1,3,1,1,15,2,1,5
351,1,3,1,1,16,2,1,5
352,1,3,1,1,17,2,1,5
353,1,3,1,1,18,2,1,5
354,1,3,1,1,19,2,1,5
355,1,3,1,1,20,2,1,5
356,1,3,1,1,21,2,1,5
357,1,3,1,1,22,2,1,5
358,1,3,1,1,23,2,1,5
359,1,3,1,2,0,2,1,5
360,1,3,1,2,1,2,1,5
361,1,3,1,2,2,2,1,5
362,1,3,1,2,3,2,1,5
363,1,3,1,2,4,2,1,5
364,1,3,1,2,5,2,1,5
365,1,3,1,2,6,2,1,5
366,1,3,1,2,7,2,1,5
367,1,3,1,2,8,2,1,5
368,1,3,1,2,9,2,1,5
369,1,3,1,2,10,2,1,5
370,1,3,1,2,11,2,1,5
371,1,3,1,2,12,2,1,5
372,1,3,1,2,13,2,1,5
373,1,3,1,2,14,2,1,5
374,1,3,1,2,15,2,1,5
375,1,3,1,2,16,2,1,5
376,1,3,1,2,17,2,1,5
377,1,3,1,2,18,2,1,5
378,1,3,1,2,19,2,1,5
379,1,3,1,2,20,2,1,5
380,1,3,1,2,21,2,1,5
381,1,3,1,2,22,2,1,5
382,1,3,1,2,23,2,1,5
383,1,3,1,3,0,2,1,5
384,1,3,1,3,1,2,1,5
385,1,3,1,3,2,2,1,5
386,1,3,1,3,3,2,1,5
387,1,3,1,3,4,2,1,5
388,1,3,1,3,5,2,1,5
389,1,3,1,3,6,2,1,5
390,1,3,1,3,7,2,1,5
391,1,3,1,3,8,2,1,5
392,1,3,1,3,9,2,1,5
393,1,3,1,3,10,2,1,5
394,1,3,1,3,11,2,1,5
395,1,3,1,3,12,2,1,5
396,1,3,1,3,13,2,1,5
397,1,3,1,3,14,2,1,5
398,1,3,1,3,15,2,1,5
399,1,3,1,3,16,2,1,5
400,1,3,1,3,17,2,1,5
401,1,3,1,3,18,2,1,5
402,1,3,1,3,19,2,1,5
403,1,3,1,3,20,2,1,5
404,1,3,1,3,21,2,1,5
405,1,3,1,3,22,2,1,5
406,1,3,1,3,23,2,1,5
407,1,3,1,4,0,2,1,5
408,1,3,1,4,1,2,1,5
409,1,3,1,4,2,2,1,5
410,1,3,1,4,3,2,1,5
411,1,3,1,4,4,2,1,5
412,1,3,1,4,5,2,1,5
413,1,3,1,4,6,2,1,5
